radio,mcc,net,area,cell,lat,lon,range,samples
LTE,724,2,32125,35331342,-22.913,-43.8981,1000,8
LTE,724,2,32125,35622413,-22.5231,-43.2379,1000,1
LTE,724,2,32125,153797685,-22.7811,-43.752,1000,6
LTE,724,2,32125,259094537,-22.8906,-43.841,1000,21
LTE,724,2,32125,259094538,-22.8963,-43.8538,1000,15
LTE,724,2,32125,259095573,-22.5221,-43.2376,1000,4
LTE,724,2,32125,259096329,-22.8882,-43.8243,1000,7
LTE,724,2,32125,259096331,-22.8903,-43.8239,1000,8
LTE,724,2,32125,259096585,-22.8989,-43.8621,1000,19
LTE,724,2,32125,259096587,-22.905,-43.8796,1827,29
LTE,724,2,32125,259096841,-22.8226,-43.8052,2039,51
LTE,724,2,32125,259096843,-22.8464,-43.8111,692,26
LTE,724,2,32125,259098121,-22.871,-43.8161,649,26
LTE,724,2,32125,259098123,-22.8813,-43.8263,1000,24
LTE,724,2,32125,259098235,-22.8851,-43.8252,1000,13
LTE,724,2,32127,35687446,-22.7213,-43.6845,6159,4
LTE,724,2,32127,259125762,-22.7388,-43.5378,1000,1
LTE,724,2,32127,259127319,-22.7334,-43.5572,1000,1
LTE,724,2,32127,259128075,-22.7298,-43.6112,1000,1
LTE,724,2,32127,259129091,-22.7272,-43.5869,1000,1
LTE,724,2,32127,259129098,-22.7289,-43.5746,1000,1
LTE,724,2,32133,259101187,-22.8996,-42.79,5708,50
LTE,724,2,32133,259101195,-22.9,-42.9412,1000,10
LTE,724,2,32133,259101697,-22.9476,-42.699,742,39
LTE,724,2,32133,259101698,-22.9534,-42.6959,1000,4
LTE,724,2,32133,259101699,-22.9546,-42.7048,1000,17
LTE,724,2,32133,259101705,-22.9445,-42.6916,1806,25
LTE,724,2,32133,259101706,-22.9395,-42.6792,2306,16
LTE,724,2,32133,259101707,-22.9508,-42.6911,1732,38
LTE,724,2,32133,259101717,-22.9534,-42.6959,1000,1
LTE,724,2,32133,259101818,-22.9534,-42.6959,1000,1
LTE,724,2,32133,259101819,-22.9554,-42.7069,1000,1
LTE,724,2,32133,259103235,-22.9048,-42.7287,1276,50
LTE,724,2,32133,259103242,-22.9154,-42.7185,1156,50
LTE,724,2,32133,259103243,-22.9048,-42.7352,2047,10
LTE,724,2,32133,259104770,-22.9035,-42.7481,1000,4
LTE,724,2,32139,34790145,-22.9346,-43.9939,1000,6
LTE,724,2,32139,34790146,-22.936,-44.0004,1155,17
LTE,724,2,32139,35620621,-22.6842,-43.6683,3923,21
LTE,724,2,32139,35620622,-22.7074,-43.6993,3057,50
LTE,724,2,32139,259098627,-22.6889,-43.6823,1000,16
LTE,724,2,32139,259098633,-22.6607,-43.601,1000,11
LTE,724,2,32139,259098635,-22.6948,-43.6941,1000,2
LTE,724,2,32139,259098645,-22.6596,-43.5942,1784,8
LTE,724,2,32139,259098647,-22.6948,-43.694,1000,1
LTE,724,2,32139,259099146,-22.6663,-43.6226,5886,44
LTE,724,2,32139,259099157,-22.6609,-43.6005,1000,11
LTE,724,2,32139,259099158,-22.6759,-43.6561,5690,21
LTE,724,2,32139,259099258,-22.6703,-43.6076,1000,1
LTE,724,2,32139,259099649,-22.6632,-43.5807,740,27
LTE,724,2,32139,259099651,-22.6644,-43.5907,1000,20
LTE,724,2,32139,259100161,-22.7267,-43.6357,1000,1
LTE,724,2,32139,259100163,-22.6914,-43.6779,3311,7
LTE,724,2,32139,259132683,-22.7748,-43.7429,1000,11
LTE,724,2,32139,259132939,-22.7748,-43.7447,1000,12
LTE,724,2,32139,259132942,-22.8382,-43.6444,1000,4
LTE,724,2,32139,259132943,-22.772,-43.7426,1082,12
LTE,724,2,32139,259133186,-22.7179,-43.7262,1000,1
LTE,724,2,32139,259133193,-22.7148,-43.7081,2605,20
LTE,724,2,32139,259133194,-22.7145,-43.7272,1114,45
LTE,724,2,32139,259133195,-22.6948,-43.6941,1000,2
LTE,724,2,32139,259133197,-22.7097,-43.7027,1750,22
LTE,724,2,32139,259133198,-22.7328,-43.7173,690,26
LTE,724,2,32139,259133199,-22.6943,-43.6949,1000,3
LTE,724,2,32139,259133205,-22.7049,-43.7007,2424,33
LTE,724,2,32139,259133206,-22.727,-43.7136,1000,4
LTE,724,2,32139,259133305,-22.7166,-43.7133,1000,1
LTE,724,2,32139,259133697,-22.8214,-43.6211,1000,4
LTE,724,2,32139,259133698,-22.8197,-43.6346,1000,5
LTE,724,2,32139,259133707,-22.8242,-43.6352,1000,8
LTE,724,2,32139,259133709,-22.8152,-43.6248,1000,3
LTE,724,2,32139,259133710,-22.825,-43.6358,1761,30
LTE,724,2,32139,259133711,-22.8118,-43.6284,1000,11
LTE,724,2,32139,259133717,-22.8178,-43.6232,1000,10
LTE,724,2,32139,259133817,-22.8174,-43.6234,1000,3
LTE,724,2,32139,259134219,-22.7516,-43.7278,1232,26
LTE,724,2,32139,259134223,-22.7525,-43.7293,1933,12
LTE,724,2,32139,259134231,-22.7775,-43.7457,1000,6
LTE,724,2,32150,34853897,-22.5284,-43.2349,1000,4
LTE,724,2,32150,34865411,-22.7865,-43.377,1000,1
LTE,724,2,32150,34870037,-22.7822,-43.3856,1000,1
LTE,724,2,32150,34963202,-22.7957,-43.3575,1000,1
LTE,724,2,32150,34963465,-22.7984,-43.3206,1000,1
LTE,724,2,32150,34963477,-22.7987,-43.3204,1000,1
LTE,724,2,32150,35089418,-22.7924,-43.3531,1000,1
LTE,724,2,32150,35089430,-22.792,-43.3536,1000,1
LTE,724,2,32150,35091413,-22.7944,-43.364,1000,1
LTE,724,2,32150,35091659,-22.7814,-43.3918,1000,1
LTE,724,2,32150,35091680,-22.7818,-43.3897,1000,1
LTE,724,2,32150,35279065,-22.7771,-43.3898,1000,1
LTE,724,2,32155,34843138,-23.0,-43.3688,1000,4
LTE,724,2,32155,34843139,-23.0001,-43.3719,1000,8
LTE,724,2,32155,34887367,-23.0109,-43.365,1000,15
LTE,724,2,32155,34887369,-23.0106,-43.361,1000,5
LTE,724,2,32155,35008021,-22.9998,-43.3569,1000,7
LTE,724,2,32155,35008022,-22.9999,-43.3601,1000,6
LTE,724,2,32155,35012374,-23.0001,-43.3753,1000,7
LTE,724,2,32155,35012375,-23.0002,-43.3774,1000,3
LTE,724,2,32155,35014935,-23.0104,-43.3427,1000,6
LTE,724,2,32155,35015104,-23.0106,-43.3376,1000,14
LTE,724,2,32155,35025431,-22.9999,-43.3633,1000,8
LTE,724,2,32155,35027991,-22.9756,-43.3638,1000,1
LTE,724,2,32155,35142167,-22.9946,-43.36,1000,1
LTE,724,2,32155,35142340,-22.9992,-43.3596,1000,1
LTE,724,2,32155,35142598,-23.0079,-43.3684,1000,1
LTE,724,2,32155,35147201,-23.0104,-43.3484,1000,11
LTE,724,2,32155,35147207,-23.0104,-43.3519,1000,4
LTE,724,2,32155,35148823,-23.011,-43.3691,1000,4
LTE,724,2,32155,35148994,-23.0114,-43.3744,1000,19
LTE,724,2,32155,35149079,-23.0105,-43.3563,1000,15
LTE,724,2,32155,35152405,-23.0004,-43.3468,1000,4
LTE,724,2,32155,35152406,-23.0,-43.345,1000,9
LTE,724,2,32155,35152407,-22.9999,-43.3515,1000,8
LTE,724,2,32155,35154123,-22.9999,-43.3546,1000,2
LTE,724,2,32155,35154709,-23.0,-43.3665,1000,4
LTE,724,2,32155,35330057,-23.0002,-43.3483,1000,4
LTE,724,2,32155,35330059,-23.0002,-43.3499,1000,5
LTE,724,2,32162,34610701,-22.9262,-43.9633,1000,8
LTE,724,2,32162,34610702,-22.9376,-44.013,1000,4
LTE,724,2,32162,34872330,-22.8565,-43.8116,1000,16
LTE,724,2,32162,34872331,-22.8635,-43.8114,1000,14
LTE,724,2,32162,34899465,-22.9271,-43.9692,1000,17
